City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Bandarbeyla,SO,9.49,50.81,78.24,76,44,23.71,scattered clouds
313,Watertown,US,42.37,-71.18,41.0,55,90,6.93,overcast clouds
314,Hirara,JP,24.8,125.28,69.8,100,75,8.05,mist
315,Port Keats,AU,-14.25,129.55,84.78,71,99,4.85,overcast clouds
316,Sept-Iles,CA,50.2,-66.38,35.6,93,100,6.93,light rain
317,Saldanha,ZA,-33.01,17.94,68.0,62,75,11.41,broken clouds
318,Panzhihua,CN,26.59,101.71,68.65,28,18,0.78,few clouds
319,Kozhva,RU,65.11,57.05,-18.71,88,97,2.77,overcast clouds
320,Koryazhma,RU,61.31,47.17,-2.18,90,0,3.22,clear sky
321,Liusha,CN,27.21,108.59,35.15,94,100,10.33,overcast clouds
322,Luanda,AO,-8.84,13.23,80.6,74,40,1.3,scattered clouds
323,Aklavik,CA,68.22,-135.01,-7.6,83,95,1.12,overcast clouds
324,Saint-Augustin,CA,51.23,-58.65,30.16,94,100,13.38,overcast clouds
325,Houma,US,29.6,-90.72,51.01,100,1,3.36,clear sky
326,Xining,CN,36.62,101.77,19.49,79,59,4.9,broken clouds
327,Caravelas,BR,-17.71,-39.25,71.15,87,0,1.61,clear sky
328,Benghazi,LY,32.12,20.07,59.45,62,0,17.02,clear sky
329,Sudzha,RU,51.2,35.27,28.99,97,100,18.88,light snow
330,Alice Springs,AU,-23.7,133.88,89.6,17,19,11.41,few clouds
331,Kalmunai,LK,7.42,81.82,82.71,70,33,7.7,scattered clouds
332,Haimen,CN,23.19,116.61,78.8,47,0,4.47,clear sky
333,Presidente Medici,BR,-11.18,-61.9,69.69,96,100,2.08,overcast clouds
334,Azle,US,32.9,-97.55,57.0,87,90,5.82,overcast clouds
335,Desnogorsk,RU,54.15,33.28,26.08,97,100,14.76,light snow
336,Kribi,CM,2.95,9.92,82.45,75,13,4.65,light rain
337,Vanimo,PG,-2.67,141.3,82.65,75,100,5.17,overcast clouds
338,Letpadan,MM,17.78,95.75,87.51,42,0,3.11,clear sky
339,Tazovskiy,RU,67.47,78.7,-21.17,85,100,17.81,overcast clouds
340,Gunnedah,AU,-30.98,150.25,66.2,100,90,14.99,light rain
341,Tura,IN,25.52,90.22,74.37,42,0,3.65,clear sky
342,Veraval,IN,20.9,70.37,77.61,20,0,10.69,clear sky
343,Merritt,CA,50.11,-120.79,30.2,86,90,2.24,overcast clouds
344,Handan,CN,36.6,114.47,24.44,53,100,8.68,overcast clouds
345,Matagami,CA,49.75,-77.63,-5.8,91,1,5.82,clear sky
346,Burnie,AU,-41.07,145.92,64.99,60,90,4.0,overcast clouds
347,Samana,DO,19.21,-69.34,74.5,83,100,7.96,overcast clouds
348,Ola,RU,59.58,151.28,-6.56,82,100,12.35,overcast clouds
349,Clarence Town,AU,-32.58,151.78,70.0,88,90,14.99,moderate rain
350,Iralaya,HN,15.0,-83.23,76.15,83,15,12.55,light rain
351,Dongsheng,CN,39.82,109.98,-3.53,58,0,21.05,clear sky
352,Grand Baie,MU,-20.02,57.58,82.99,71,34,11.01,scattered clouds
