City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Puerto Ayora,EC,-0.74,-90.35,73.0,95,50,5.99
135,Biltine,TD,14.53,20.92,86.5,14,0,10.33
136,Abu Dhabi,AE,24.47,54.37,73.4,53,0,4.7
137,Dossor,KZ,47.53,52.98,21.29,96,0,9.78
138,Port Blair,IN,11.67,92.75,82.78,72,93,11.95
139,Manicore,BR,-5.81,-61.3,77.0,94,20,1.66
140,Santona,ES,43.44,-3.46,44.6,81,75,12.75
141,Salaga,GH,8.55,-0.52,77.02,18,0,6.96
142,Haines Junction,CA,60.75,-137.51,19.38,93,100,1.74
143,Zhanakorgan,KZ,43.91,67.25,28.74,91,0,3.13
144,Zhigansk,RU,66.77,123.37,-7.11,89,98,16.6
145,Tadine,NC,-21.55,167.88,78.6,78,63,18.01
146,Clyde River,CA,70.47,-68.59,-2.2,77,61,3.02
147,Kose,TR,40.21,39.65,32.0,84,32,4.05
148,Tessalit,ML,20.2,1.01,67.84,22,79,4.83
149,Mount Gambier,AU,-37.83,140.77,68.0,60,90,13.87
150,Ballitoville,ZA,-29.54,31.21,84.2,66,0,3.36
151,Tual,ID,-5.67,132.75,84.27,77,100,10.92
152,Ayan,RU,56.45,138.17,-15.5,75,85,9.95
153,Colac,AU,-38.33,143.58,66.0,88,100,7.38
154,Chara,RU,56.91,118.26,-18.04,74,22,4.07
155,Port Lincoln,AU,-34.73,135.87,66.67,64,28,13.29
156,Tarui,JP,35.37,136.53,55.99,15,65,0.4
157,Karratha,AU,-20.74,116.85,90.5,55,0,18.86
158,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,3.2,71,100,2.24
159,Geraldton,AU,-28.77,114.6,87.8,40,0,25.28
160,Cherskiy,RU,68.75,161.3,-36.72,82,82,4.41
161,Key Largo,US,25.09,-80.45,70.0,92,65,21.39
162,Kristiinankaupunki,FI,62.27,21.38,35.33,89,100,15.39
163,Torbay,CA,47.67,-52.73,24.8,92,75,9.17
164,Sinnamary,GF,5.38,-52.95,77.31,87,97,6.69
165,Douentza,ML,15.0,-2.95,73.33,19,15,2.51
166,Hami,CN,42.8,93.45,24.31,59,0,9.19
167,Luena,AO,-11.78,19.92,66.2,88,40,8.05
168,Cayenne,GF,4.93,-52.33,73.4,100,20,6.58
169,Bambous Virieux,MU,-20.34,57.76,82.99,74,75,14.99
170,Mehamn,NO,71.04,27.85,30.2,68,0,16.11
171,Tambun,ID,-6.26,107.07,91.0,62,40,17.22
172,Ancud,CL,-41.87,-73.82,61.0,93,75,18.34
173,Trofors,NO,65.53,13.41,35.6,59,40,11.41
174,Carutapera,BR,-1.2,-46.02,78.04,83,34,6.98
175,Kahului,US,20.89,-156.47,71.6,68,20,10.49
176,Sao Filipe,CV,14.9,-24.5,73.71,82,82,6.93
177,Nouadhibou,MR,20.93,-17.03,64.4,93,20,8.05
178,Zbarazh,UA,49.66,25.78,43.9,80,100,23.94
179,Bengkulu,ID,-3.8,102.27,84.52,62,100,8.34
180,Caravelas,BR,-17.71,-39.25,71.15,87,0,1.61
181,Chokurdakh,RU,70.63,147.92,-38.11,83,49,3.22
182,Porto Walter,BR,-8.27,-72.74,69.87,98,93,2.91
183,Rio Gallegos,AR,-51.62,-69.22,48.2,76,90,4.7
184,East London,ZA,-33.02,27.91,77.0,73,0,9.17
185,Topolobampo,MX,25.6,-109.05,54.0,92,0,1.99
186,Korla,CN,41.76,86.15,26.74,79,0,3.74
187,Saldanha,ZA,-33.01,17.94,68.0,62,75,11.41
188,Sakakah,SA,29.97,40.21,50.0,76,0,5.82
189,Billund,DK,55.73,9.11,37.99,93,100,5.82
190,Grand Gaube,MU,-20.01,57.66,82.99,71,33,11.01
191,San Jose,US,37.34,-121.89,44.6,81,75,0.94
192,Mangrol,IN,21.12,70.12,77.47,19,0,10.63
193,Hatton,LK,6.89,80.6,73.18,76,67,0.25
194,Santiago Del Estero,AR,-27.8,-64.26,72.0,90,100,1.99
195,Asau,RO,46.43,26.4,37.0,87,0,7.23
196,Leningradskiy,RU,69.38,178.42,-7.2,88,100,2.73
197,Nerchinskiy Zavod,RU,51.31,119.61,-19.68,84,86,2.68
198,Iquique,CL,-20.22,-70.14,71.6,56,0,12.75
199,Faanui,PF,-16.48,-151.75,80.85,73,69,9.17
200,Viedma,AR,-40.81,-63.0,70.52,74,0,9.75
201,Maryborough,AU,-25.53,152.7,82.0,71,100,5.01
202,La Rioja,ES,42.25,-2.5,39.99,94,20,6.93
203,Fairbanks,US,64.84,-147.72,28.4,78,75,5.82
204,Samarai,PG,-10.62,150.67,85.98,73,100,12.03
205,Phangnga,TH,8.45,98.53,91.4,58,20,10.29
206,Chumphon,TH,10.33,98.83,87.8,66,75,6.93
207,Nushki,PK,29.55,66.02,44.83,46,28,4.88
208,Zhaotong,CN,27.32,103.72,34.14,83,97,11.52
209,Berdigestyakh,RU,62.1,126.7,-5.01,88,100,11.07
210,Saint John,CA,45.27,-66.07,46.4,100,90,5.82
211,Guerrero Negro,MX,27.98,-114.06,57.36,73,2,12.86
212,Luohe,CN,33.57,114.04,31.51,76,100,15.5
213,Te Anau,NZ,-45.42,167.72,56.43,73,100,4.94
214,Havre-Saint-Pierre,CA,50.23,-63.6,33.8,100,90,10.29
215,Saint George,US,37.1,-113.58,37.99,93,90,2.28
216,Pitimbu,BR,-7.47,-34.81,71.6,100,40,4.7
217,Tautira,PF,-17.73,-149.15,78.8,69,20,2.24
218,Arlit,NE,18.74,7.39,68.56,23,1,6.42
219,Isangel,VU,-19.55,169.27,84.2,74,75,4.7
220,Donskoye,RU,45.46,41.97,33.8,86,75,20.13
221,Mao,ES,39.89,4.27,51.8,62,20,8.05
222,Nome,US,64.5,-165.41,30.2,92,90,13.87
223,Qaqortoq,GL,60.72,-46.03,16.7,91,1,5.12
224,Manresa,ES,41.73,1.83,35.01,84,94,1.99
225,Kharp,RU,66.8,65.81,-14.76,86,97,6.06
226,Goderich,CA,43.75,-81.72,26.6,79,100,18.34
227,Bindura,ZW,-17.3,31.33,78.01,49,99,5.01
228,Angoche,MZ,-16.23,39.91,94.59,44,94,0.81
229,San Cristobal,VE,7.77,-72.22,62.17,91,100,2.77
230,Ponta Do Sol,PT,32.67,-17.1,59.0,62,20,5.82
231,Pelym,RU,61.01,62.0,-17.95,85,91,8.93
232,Mayumba,GA,-3.43,10.66,79.3,86,91,5.61
233,Lodingen,NO,68.41,16.0,41.0,56,100,16.11
234,Lavrentiya,RU,65.58,-171.0,19.69,95,100,13.85
235,Bilma,NE,18.69,12.92,65.12,26,0,9.22
236,Namibe,AO,-15.2,12.15,72.54,80,100,3.6
237,Hithadhoo,MV,-0.6,73.08,82.6,75,0,11.39
238,Slangerup,DK,55.85,12.18,39.0,94,100,1.01
239,Zlobin,HR,45.29,14.65,51.01,76,100,15.01
240,Lazaro Cardenas,MX,17.96,-102.2,68.63,75,0,4.05
241,Zatyshshya,UA,47.33,29.87,48.11,84,41,21.61
242,Cabo Rojo,PR,18.09,-67.15,73.0,94,100,7.67
